Question_name,Option1,Option2,Option3,Option4,AnswerOption,Explanation
A kitten grows up to be a __., man,cow,cat,sheep,Option3,NA
A baby cannot eat because he has no____.,Hair,teeth,hand,leg,Option2,NA
Baby grows on____.,Doctor,Engineer,Teacher,Man,Option4,NA
A cat has sturdy paws and hard___.,Women,Puppy,Whiskers,None,Option3,NA
We taste food with __,Ears,Eyes,Tongue,None,Option3,NA
Who is fluffy?,Cat,Dog,Rabbit,Rat,Option1,NA
What does grandma tell Asha to bring?,Fruits,Animals,Vegetables,Inserts,Option3,NA
Naming words are called __.,Nouns,Pronouns,Sentence,None,Option1,NA
Anu's terrace is big and ___.,dirty,beautiful,green,pink,Option2,NA
We take a bath here.,Bedroom,Kitchen,Bathroom,Living room,Option3,NA
Number - 0 =,0,5,Same number,None,Option3,NA
Zero (0) stands for___,9,10,Both,None,Option4,NA
"""-"" shows___",Addition,Subtraction,Division,None,Option2,NA
"43,41,39,_",40,42,37,None,Option3,NA
12-3=___,9,15,2,7,Option1,NA
The National Bird of India.....,peacock,pigeon,parrot,hen,Option1,NA
This is the National Anthem of India.....,Jana Gana Mana,Vande Mataram,Kadam Kadam Badhye ja,Desh Mera Rangeela,Option1,NA
This is the National Flower of India....,Lotus,Sunflower,Rose,Lily,Option1,NA
This is the symbol for rupee.....,Rs, ?,Rupee,Paisa,Option2,NA
The National Animal of India ....,Lion,Elephant,Tiger,Dog,Option3,NA
